fips,state,mcr_benes,mcr_avg_age,dual_pct,imaging_p1k,em_p1k,tests_p1k,uninsured,mammography,flu_vax,prevent_hosp,chr_diabetes,pcp_ratio,median_income,pct_rural,long_commute,broadband,state_abb,medicaid_expansion
02240,Alaska,1459,72,0.2159,2523.2745,6822.6324,3617.9775,0.2020167493,0.26,0.25,NA,0.104,8.673027e-4,69646,1,0.105,0.7156682028,AK,yes
02275,Alaska,599,73,0.1628,2151.341,6754.7893,1093.8697,0.1803781298,NA,NA,NA,0.187,0.0011985617,62496,NA,0,0.7380720545,AK,yes
02282,Alaska,117,73,0.2449,2459.1837,8306.1224,4051.0204,0.1844262295,NA,NA,NA,0.098,0,61587,1,0,0.7168949772,AK,yes
02290,Alaska,1003,72,0.4234,2782.6633,7771.3568,3326.6332,0.2190836299,0.33,0.27,1161,0.096,1.877229e-4,42063,1,0.092,0.4288793103,AK,yes
04001,Arizona,14348,72,0.3875,3043.5432,10769.186600000001,2147.4035,0.2118843503,0.24,0.36,4878,0.163,3.898744e-4,35386,0.7406107553,0.423,0.3785882015,AZ,yes
04003,Arizona,35734,73,0.0993,3554.0634,9991.5801,4344.5244,0.1118406843,0.36,0.33,3261,0.103,5.442928e-4,48650,0.3630106741,0.227,0.7988357953,AZ,yes
04005,Arizona,23151,72,0.1681,3231.3261,10350.0174,4637.3129,0.1308188804,0.31,0.39,2392,0.077,8.19018e-4,58301,0.3146606557,0.16,0.7819040192,AZ,yes
04007,Arizona,18298,73,0.1144,3613.2469,11255.1718,4832.7266,0.1451291719,0.35,0.39,3142,0.137,3.896899e-4,45980,0.4106199974,0.191,0.6617908407,AZ,yes
04009,Arizona,6460,72,0.1732,3066.2865,8890.948,3678.9024,0.1213757249,0.35,0.39,2483,0.12,5.253204e-4,50685,0.4643739925,0.173,0.7585549605,AZ,yes
04011,Arizona,1386,73,0.0846,3070.7351,8875.1734,4106.7961,0.0730694037,0.29,0.29,2940,0.115,5.272593e-4,68066,0.4656868555,0.121,0.8218390805,AZ,yes
04012,Arizona,6379,73,0.1685,2630.4969,10140.7767,2815.534,0.2114827919,0.27,0.3,3547,0.178,2.843871e-4,39407,0.5632778564,0.18,0.6176974107,AZ,yes
04013,Arizona,772966,73,0.0694,4879.5356,15132.914,7563.6871,0.1260448081,0.41,0.48,2935,0.087,6.905739e-4,68634,0.0236379969,0.383,0.8633048471,AZ,yes
04015,Arizona,73900,73,0.103,3995.1297,13201.8793,5043.9386,0.1284161139,0.39,0.39,3749,0.14,5.297065e-4,49712,0.2296364381,0.189,0.8005156004,AZ,yes
04017,Arizona,26595,72,0.2549,3355.8326,11004.6305,3622.3805,0.1437956785,0.31,0.39,3104,0.151,6.066368e-4,40676,0.5413824233,0.255,0.6250928837,AZ,yes
04019,Arizona,251922,74,0.0777,4010.4411,12612.8502,6792.8322,0.1234660101,0.47,0.48,2901,0.087,8.565327e-4,56150,0.0752349114,0.349,0.8537847848,AZ,yes
04021,Arizona,91695,72,0.0834,4616.729,14138.9354,6436.7058,0.1219695159,0.39,0.44,2675,0.134,1.632606e-4,62067,0.2190462251,0.533,0.8400636943,AZ,yes
04023,Arizona,10996,73,0.1182,3149.6452,8643.9371,5019.747,0.1742389762,0.34,0.35,2118,0.093,4.730064e-4,47779,0.2688317166,0.244,0.7374629408,AZ,yes
04025,Arizona,91360,74,0.0655,3732.2379,11896.1464,5440.1497,0.1506060781,0.42,0.43,2210,0.109,5.905351e-4,54242,0.3319717769,0.279,0.8216006342,AZ,yes
04027,Arizona,40928,74,0.1506,4200.5488,12858.5868,8216.4647,0.137439384,0.35,0.39,3210,0.12,4.525569e-4,47024,0.1042957635,0.211,0.7829215574,AZ,yes
05001,Arkansas,4431,72,0.1921,3952.317,9233.3781,4242.4446,0.0878041839,0.34,0.43,4981,0.185,5.065001e-4,52539,0.3470739787,0.151,0.6768121746,AR,yes
05003,Arkansas,5401,72,0.194,4153.0533,11422.3138,5733.8315,0.0959592746,0.34,0.43,6294,0.135,3.990821e-4,47744,0.516816913,0.239,0.6132525461,AR,yes
05005,Arkansas,16003,73,0.1148,3883.2482,11981.411,5133.6015,0.0879509632,0.49,0.49,5268,0.155,7.448521e-4,41950,0.6584202539,0.144,0.7458096013,AR,yes
05007,Arkansas,48217,73,0.1086,4251.4705,10898.8151,6681.3145,0.0986432893,0.44,0.53,3012,0.096,6.015964e-4,70775,0.2516004861,0.216,0.7006755854,AR,yes
05009,Arkansas,10842,72,0.1599,4028.4181,11124.2501,6702.084,0.0886217785,0.4,0.46,4058,0.11,7.470651e-4,50083,0.6219819527,0.23,0.8102966609,AR,yes
05011,Arkansas,2629,72,0.2127,4400.1125,9631.964,3982.5549,0.114655571,0.31,0.52,4926,0.184,5.506103e-4,39982,0.4959158846,0.317,0.6730029418,AR,yes
05013,Arkansas,1246,72,0.1616,3910.6439,9250.9855,6076.2155,0.0822368421,0.35,0.34,2316,0.098,1.895016e-4,48415,1,0.302,0.6340540541,AR,yes
05015,Arkansas,7956,72,0.1412,3501.6393,8986.633,6259.5208,0.1279536752,0.36,0.46,2799,0.088,5.314814e-4,43841,0.7283392844,0.24,0.6875841637,AR,yes
05017,Arkansas,2822,72,0.2553,3703.2218,8462.2057,5690.8302,0.0905349794,0.37,0.28,8130,0.091,0.0010538417,37014,0.5427966102,0.282,0.622173058,AR,yes
05019,Arkansas,4915,73,0.1564,3771.4182,9729.8578,4485.5997,0.0866989425,0.38,0.48,3367,0.145,4.532886e-4,44105,0.5437703849,0.258,0.6863604073,AR,yes
05021,Arkansas,4100,72,0.2149,4366.078,9878.5872,5673.2892,0.0966814737,0.33,0.33,3908,0.098,6.73537e-5,40686,0.5885717839,0.338,0.6675977654,AR,yes
05023,Arkansas,8681,73,0.1242,3938.1735,9877.4068,4905.3171,0.0944447509,0.4,0.46,3801,0.128,6.008412e-4,46214,0.7552175587,0.325,0.7532226653,AR,yes
05025,Arkansas,2069,72,0.1303,4766.8356,11044.1709,6408.3997,0.0772151899,0.4,0.46,5670,0.155,NA,53773,1,0.546,0.6055331054,AR,yes
05027,Arkansas,5384,71,0.209,3644.8598,10366.7516,5519.3996,0.0974092673,0.37,0.48,4816,0.188,5.948082e-4,42964,0.5748615184,0.181,0.6249708012,AR,yes
05029,Arkansas,5470,72,0.1856,3935.3542,8707.0832,5930.0959,0.0843925065,0.3,0.31,3886,0.17,6.70145e-4,46924,0.7051661731,0.388,0.6537489469,AR,yes
05031,Arkansas,20159,71,0.1666,4688.7211,13891.3971,6600.5582,0.0939982494,0.44,0.53,5659,0.138,0.0011514582,47766,0.3216822372,0.149,0.8158791541,AR,yes
05033,Arkansas,14877,71,0.1874,4051.9842,11822.9609,6136.9161,0.1002497188,0.38,0.47,4683,0.14,3.942845e-4,44600,0.519613224,0.261,0.7258953168,AR,yes
05035,Arkansas,9793,69,0.2686,4115.3628,14196.2493,8548.7782,0.0837379547,0.39,0.41,4326,0.166,3.102892e-4,41976,0.20887195,0.296,0.7625563594,AR,yes
05037,Arkansas,4167,71,0.1959,4040.4335,11462.6928,5654.4393,0.0900576909,0.27,0.44,7648,0.194,3.597985e-4,45273,0.567879127,0.302,0.7061476026,AR,yes
05039,Arkansas,2005,72,0.1841,3920.7048,8343.6123,4503.0837,0.0777453839,0.33,0.36,5325,0.171,1.39237e-4,41314,0.5263676688,0.362,0.5836982149,AR,yes
05041,Arkansas,2874,71,0.2246,3814.2689,8396.2264,4012.3821,0.1017950963,0.3,0.41,9375,0.095,4.343294e-4,37005,0.3141912669,0.17,0.5495772483,AR,yes
05043,Arkansas,4001,72,0.2128,4567.8724,12640.6068,5822.2482,0.081442577,0.29,0.45,7770,0.175,6.547359e-4,44162,0.4860878492,0.282,0.6949839318,AR,yes
05045,Arkansas,22115,72,0.1259,4427.8716,11571.1345,7662.0758,0.0801489116,0.37,0.5,4169,0.104,5.368332e-4,58482,0.387602992,0.382,0.8043297813,AR,yes
05047,Arkansas,4577,71,0.1881,3792.9189,10653.3553,6347.4681,0.0986726596,0.36,0.48,3937,0.144,2.807412e-4,45670,0.8260413793,0.439,0.622638703,AR,yes
05049,Arkansas,3857,72,0.2095,3613.7634,10129.8925,5034.4086,0.0922612391,0.39,0.4,6539,0.127,5.705436e-4,32926,0.92919559,0.261,0.5791272874,AR,yes
05051,Arkansas,30564,73,0.1229,4648.5978,13327.5913,8374.5076,0.103604695,0.39,0.56,4582,0.159,8.673377e-4,45786,0.3690327418,0.228,0.7857942252,AR,yes
05053,Arkansas,4243,72,0.1122,4786.1163,13221.3884,8190.9944,0.0673801831,0.37,0.56,5009,0.169,1.099626e-4,58566,0.7502940682,0.521,0.7399096605,AR,yes
05055,Arkansas,10212,71,0.1712,4292.4389,13148.2696,5733.4755,0.0717883463,0.41,0.5,6972,0.15,5.51572e-4,47098,0.4150629603,0.279,0.7653297786,AR,yes
05057,Arkansas,4905,71,0.2237,3746.6478,11058.2216,5640.0847,0.1090234152,0.38,0.41,5675,0.212,2.299802e-4,40867,0.5576982618,0.235,0.7294292068,AR,yes
05059,Arkansas,8311,72,0.1562,4346.0455,12194.1495,7321.3434,0.0815804207,0.34,0.56,4879,0.157,2.07709e-4,45860,0.65969079370000006,0.433,0.6481466783,AR,yes
05061,Arkansas,3209,71,0.2244,3639.1705,11710.1382,5259.447,0.1175816024,0.33,0.46,4836,0.096,5.246983e-4,41427,0.6751758648,0.278,0.6606378841,AR,yes
05063,Arkansas,9180,72,0.1889,4050.706,12454.1078,7155.1669,0.0918703472,0.34,0.51,4943,0.113,7.696799e-4,47903,0.6858405872,0.163,0.6001256808,AR,yes
05065,Arkansas,4351,71,0.2201,3219.3151,8896.1139,4783.3782,0.112078346,0.31,0.38,6524,0.162,2.942691e-4,40233,1,0.279,0.5372088229,AR,yes
05067,Arkansas,4002,71,0.2511,4268.0371,12993.9541,6729.5445,0.0855707604,0.34,0.53,7089,0.288,4.16394e-4,38636,0.6506084347,0.29,0.6553690728,AR,yes
05069,Arkansas,16154,71,0.1963,4738.6094,13682.8429,6350.617,0.0771368869,0.35,0.42,5715,0.146,6.166133e-4,40555,0.3091625234,0.21,0.603895377,AR,yes
05071,Arkansas,6174,71,0.2228,3675,10328.1646,6000.6329,0.1301654803,0.32,0.49,4388,0.129,5.235211e-4,40396,0.7136648395,0.194,0.6452179302,AR,yes
05073,Arkansas,1918,71,0.2483,3627.9264,9641.3043,5578.5953,0.1065887568,0.34,0.3,4294,0.189,2.993116e-4,37164,1,0.386,0.6095545977,AR,yes
05075,Arkansas,4472,72,0.2272,4398.7441,10383.0455,6045.9184,0.0829656477,0.33,0.29,6543,0.116,3.042473e-4,39604,0.635601493,0.416,0.6916292743,AR,yes
