fips,race,age,dr_cases,vtdr_cases,dm_pop
08041,"White, non-Hispanic",40-64 years,4279,665,17945
08043,"White, non-Hispanic",40-64 years,414,63,1777
08045,"White, non-Hispanic",40-64 years,326,57,1705
08047,"White, non-Hispanic",40-64 years,51,9,253
08049,"White, non-Hispanic",40-64 years,113,18,552
08051,"White, non-Hispanic",40-64 years,86,12,464
08055,"White, non-Hispanic",40-64 years,56,10,233
08057,"White, non-Hispanic",40-64 years,12,2,53
08059,"White, non-Hispanic",40-64 years,4669,703,17878
08061,"White, non-Hispanic",40-64 years,11,2,52
08063,"White, non-Hispanic",40-64 years,44,8,226
08065,"White, non-Hispanic",40-64 years,39,8,188
08067,"White, non-Hispanic",40-64 years,341,75,1559
08069,"White, non-Hispanic",40-64 years,2406,317,9188
08071,"White, non-Hispanic",40-64 years,75,13,413
08073,"White, non-Hispanic",40-64 years,46,5,183
08075,"White, non-Hispanic",40-64 years,192,26,700
08077,"White, non-Hispanic",40-64 years,1127,177,4778
08079,"White, non-Hispanic",40-64 years,8,1,30
08081,"White, non-Hispanic",40-64 years,97,15,449
08083,"White, non-Hispanic",40-64 years,232,43,781
08085,"White, non-Hispanic",40-64 years,320,50,1307
08087,"White, non-Hispanic",40-64 years,242,30,736
08089,"White, non-Hispanic",40-64 years,117,21,485
08091,"White, non-Hispanic",40-64 years,48,6,165
08093,"White, non-Hispanic",40-64 years,184,26,745
08095,"White, non-Hispanic",40-64 years,42,4,130
08097,"White, non-Hispanic",40-64 years,86,16,490
08099,"White, non-Hispanic",40-64 years,75,12,327
08101,"White, non-Hispanic",40-64 years,810,142,4282
08103,"White, non-Hispanic",40-64 years,65,12,203
08105,"White, non-Hispanic",40-64 years,85,12,283
08107,"White, non-Hispanic",40-64 years,200,29,775
08109,"White, non-Hispanic",40-64 years,69,11,218
08113,"White, non-Hispanic",40-64 years,73,11,264
08115,"White, non-Hispanic",40-64 years,23,4,80
08117,"White, non-Hispanic",40-64 years,149,27,902
08119,"White, non-Hispanic",40-64 years,228,34,918
08121,"White, non-Hispanic",40-64 years,52,6,165
08123,"White, non-Hispanic",40-64 years,2408,319,8005
08125,"White, non-Hispanic",40-64 years,75,10,286
09001,"White, non-Hispanic",40-64 years,7320,1098,25787
09003,"White, non-Hispanic",40-64 years,7933,1117,24793
09005,"White, non-Hispanic",40-64 years,1836,317,7106
09007,"White, non-Hispanic",40-64 years,1633,191,6080
09009,"White, non-Hispanic",40-64 years,6405,1012,25227
09011,"White, non-Hispanic",40-64 years,3187,518,9122
09013,"White, non-Hispanic",40-64 years,1537,209,5131
09015,"White, non-Hispanic",40-64 years,1605,199,5008
10001,"White, non-Hispanic",40-64 years,1257,205,5369
10003,"White, non-Hispanic",40-64 years,3608,617,14692
10005,"White, non-Hispanic",40-64 years,2435,423,10041
12001,"White, non-Hispanic",40-64 years,1546,239,6513
12003,"White, non-Hispanic",40-64 years,224,34,1212
12005,"White, non-Hispanic",40-64 years,1480,175,7349
12007,"White, non-Hispanic",40-64 years,258,48,1180
12009,"White, non-Hispanic",40-64 years,5026,730,23490
12011,"White, non-Hispanic",40-64 years,9055,1504,37455
12013,"White, non-Hispanic",40-64 years,114,20,609
12015,"White, non-Hispanic",40-64 years,1642,260,7328
12017,"White, non-Hispanic",40-64 years,1610,201,6278
12019,"White, non-Hispanic",40-64 years,1428,258,8333
12021,"White, non-Hispanic",40-64 years,1803,349,9625
12023,"White, non-Hispanic",40-64 years,731,111,2763
12027,"White, non-Hispanic",40-64 years,368,42,1055
12029,"White, non-Hispanic",40-64 years,140,24,834
12031,"White, non-Hispanic",40-64 years,6432,1003,28500
12033,"White, non-Hispanic",40-64 years,2050,428,10616
12035,"White, non-Hispanic",40-64 years,1049,163,4712
