fips,svi_overall,svi_ses,svi_hhchar,svi_minority,svi_housing
13289,0.5579,0.6133,0.282,0.8444,0.4561
13291,0.6031,0.6388,0.4045,0.1655,0.8129
13293,0.7078,0.8339,0.3813,0.7151,0.5379
13295,0.6948,0.8892,0.6229,0.3046,0.4074
13297,0.4173,0.627,0.5538,0.6375,0.0656
13299,0.8838,0.916,0.5477,0.7632,0.8927
13301,0.7734,0.6747,0.5707,0.9376,0.7715
13303,0.9141,0.8791,0.6824,0.9144,0.9325
13305,0.8561,0.8234,0.6031,0.6674,0.9246
13307,0.8752,0.9831,0.9873,0.8587,0.0697
13309,0.5869,0.9265,0.0025,0.8329,0.7508
13311,0.2893,0.4013,0.3122,0.2336,0.2769
13313,0.916,0.9163,0.8094,0.8094,0.8482
13315,0.7664,0.8437,0.429,0.8039,0.633
13317,0.7489,0.8479,0.6384,0.8698,0.3692
13319,0.7801,0.8781,0.521,0.8224,0.5293
13321,0.7559,0.8921,0.8071,0.7151,0.2403
15001,0.6229,0.4386,0.6798,0.9644,0.5627
15003,0.5382,0.1976,0.2257,0.9844,0.9637
15005,6e-4,0,0.0019,0.9901,0.0051
15007,0.3622,0.2018,0.2613,0.9663,0.4994
15009,0.4796,0.2868,0.3711,0.965,0.6235
16001,0.1674,0.1891,0.1693,0.4758,0.2101
16003,0.2145,0.5646,0.119,0.2613,0.0694
16005,0.6015,0.4707,0.5541,0.5006,0.7909
16007,0.175,0.2021,0.3883,0.2148,0.1696
16009,0.6123,0.6763,0.8097,0.4656,0.2973
16011,0.5095,0.4949,0.8148,0.6375,0.2069
16013,0.5134,0.4449,0.7107,0.6337,0.3698
16015,0.0987,0.197,0.1241,0.3218,0.0891
16017,0.3431,0.4519,0.2059,0.2276,0.4529
16019,0.4348,0.3208,0.6162,0.5083,0.4418
16021,0.3256,0.4755,0.3275,0.3355,0.2292
16023,0.3024,0.549,0.2091,0.0589,0.2731
16025,0.3186,0.7457,0.5662,0.1127,0.0185
16027,0.6429,0.7231,0.6445,0.6827,0.3383
16029,0.1906,0.2498,0.105,0.2778,0.3285
16031,0.5827,0.4987,0.7237,0.7008,0.4278
16033,0.6327,0.8539,0.2985,0.8399,0.2855
16035,0.6496,0.7222,0.3701,0.3218,0.7731
16037,0.3978,0.5436,0.2664,0.451,0.3008
16039,0.7934,0.8689,0.8367,0.656,0.409
16041,0.1225,0.2056,0.1547,0.3119,0.1279
16043,0.6375,0.6954,0.6871,0.451,0.4453
16045,0.7403,0.5649,0.9736,0.4023,0.5837
16047,0.8456,0.8288,0.9373,0.7126,0.5535
16049,0.5538,0.5484,0.7763,0.2966,0.4328
